id,lat,lng,location,elevation,slopeAngle,rainfall,soilType,vegetation,landslideRisk,avalancheRisk,temperature,humidity
1,30.0668,79.0193,Dehradun,640,8,2800,Alluvial,Agricultural,High,Medium,18,80
2,29.3919,79.9640,Nainital,2084,25,2100,Loamy,Dense Forest,High,High,11,85
3,30.3165,78.0322,Rishikesh,372,12,2500,Sandy,Mixed,High,Medium,21,75
4,29.8543,78.0736,Haridwar,314,5,1800,Alluvial,Agricultural,High,Medium,24,70
5,30.0869,79.6947,Almora,1638,30,2000,Rocky,Dense Forest,High,High,8,88
6,29.5993,79.8214,Pithoragarh,1645,35,1800,Rocky,Sparse Forest,High,High,6,85
7,30.4000,79.0600,Uttarkashi,1158,28,2200,Rocky,Mixed,High,High,10,88
8,30.1500,78.7800,Tehri,770,22,2300,Clay,Dense Forest,High,High,14,90
9,29.8400,78.9500,Pauri,1814,20,2100,Loamy,Mixed,High,High,12,82
10,29.6857,79.2057,Bageshwar,1004,15,1900,Sandy,Sparse Forest,High,Medium,16,78
