id,lat,lng,location,elevation,slopeAngle,rainfall,soilType,vegetation,landslideRisk,avalancheRisk,temperature,humidity
1,34.0837,74.7973,Srinagar,1585,15,850,Alluvial,Mixed,High,High,10,82
2,32.2432,77.1892,Manali,2050,35,1400,Rocky,Dense Forest,High,High,6,85
3,31.1048,77.1734,Shimla,2206,30,1300,Rocky,Sparse Forest,High,High,8,80
4,32.7266,74.8570,Jammu,327,10,1100,Alluvial,Agricultural,Medium,Low,26,62
5,34.1526,77.5771,Leh,3524,40,150,Rocky,Barren,Medium,High,-8,35
6,33.7782,76.5762,Kargil,2676,45,300,Rocky,Sparse Forest,High,High,0,45
7,31.6340,76.8130,Dharamshala,1457,25,2000,Loamy,Dense Forest,High,Medium,16,88
8,32.0840,76.5130,Kullu,1230,20,1600,Sandy,Mixed,High,Medium,13,75
9,33.2778,75.3412,Udhampur,756,12,950,Clay,Agricultural,Medium,Low,23,65
10,31.8040,76.1200,Palampur,1219,18,1800,Loamy,Dense Forest,High,Medium,14,82
