id,lat,lng,location,elevation,slopeAngle,rainfall,soilType,vegetation,landslideRisk,avalancheRisk,temperature,humidity
1,22.5726,88.3639,Kolkata,9,2,1800,Alluvial,Agricultural,Medium,Low,25,82
2,27.0360,88.2627,Darjeeling,2042,40,3400,Loamy,Dense Forest,High,High,10,90
3,27.3389,88.6065,Kalimpong,1247,35,3200,Rocky,Dense Forest,High,Medium,13,88
4,26.7271,88.3953,Kurseong,1458,30,2900,Clay,Dense Forest,High,Medium,14,85
5,26.7271,88.4296,Siliguri,122,5,2600,Sandy,Mixed,Medium,Low,22,80
6,26.5499,89.4603,Jalpaiguri,75,3,2400,Alluvial,Agricultural,Medium,Low,24,75
7,26.3259,89.4497,Cooch Behar,43,2,2200,Clay,Agricultural,Medium,Low,26,72
8,26.8467,89.2615,Alipurduar,91,4,2300,Sandy,Mixed,Medium,Low,23,78
9,23.7957,87.7554,Gangtok,1650,38,3600,Rocky,Dense Forest,High,High,8,92
10,25.5788,91.8933,Shillong,1496,32,2800,Laterite,Dense Forest,High,Medium,16,88
